Ciudad,Temperatura,Humedad,Presión,Viento,Descripción,FechaHora
Bucaramanga,26.73,65,1015,5.14,haze,23/12/2025 12:14:06
Pereira,23.2,72,1013,2.06,scattered clouds,23/12/2025 12:11:42
Manizales,17.34,77,1013,3.58,scattered clouds,23/12/2025 12:12:05
Armenia,20.1,84,1013,1.34,broken clouds,23/12/2025 12:15:58
Santa Marta,29.94,75,1010,2.06,few clouds,23/12/2025 12:11:06
Riohacha,33.06,46,1012,8.23,few clouds,23/12/2025 12:15:59
Valledupar,32.83,33,1011,7.72,broken clouds,23/12/2025 12:13:24
Montería,31.95,58,1010,1.03,scattered clouds,23/12/2025 12:15:59
Sincelejo,30.44,61,1011,2.29,scattered clouds,23/12/2025 12:15:00
Neiva,23.78,83,1012,4.02,scattered clouds,23/12/2025 12:11:52
Florencia,32.59,52,1010,1.03,scattered clouds,23/12/2025 12:16:01
Popayán,22.33,68,1012,1.63,scattered clouds,23/12/2025 12:16:01
Pasto,14.09,76,1014,1.45,light rain,23/12/2025 12:11:23
Mocoa,28.66,54,1012,2.69,clear sky,23/12/2025 12:16:02
Tunja,16.15,47,1013,2.1,scattered clouds,23/12/2025 12:16:02
Yopal,33.01,30,1009,2.94,broken clouds,23/12/2025 12:16:03
Villavicencio,30.64,57,1011,1.98,overcast clouds,23/12/2025 12:13:57
Leticia,29.03,89,1009,1.54,broken clouds,23/12/2025 12:16:04
San Andrés,30.01,70,1014,6.69,few clouds,23/12/2025 12:16:04
Quibdó,27.19,83,1011,2.06,broken clouds,23/12/2025 12:16:04
Mitú,32.86,43,1008,2.54,broken clouds,23/12/2025 12:16:05
Puerto Carreño,31.99,51,1010,6.17,few clouds,23/12/2025 12:16:05
Inírida,34.74,44,1008,1.06,few clouds,23/12/2025 12:16:05
Bogota,17.6,63,1012,4.12,scattered clouds,23/12/2025 13:15:55
Medellín,24.63,52,1010,2.57,scattered clouds,23/12/2025 13:12:38
Santiago de Cali,28,61,1009,1.54,scattered clouds,23/12/2025 13:15:49
Barranquilla,34.88,49,1010,2.06,broken clouds,23/12/2025 13:12:37
Cartagena,31.79,58,1009,3.09,clear sky,23/12/2025 13:13:28
Cúcuta,25.97,78,1014,6.69,scattered clouds,23/12/2025 13:13:12
Bucaramanga,25.73,73,1011,6.17,haze,23/12/2025 13:15:57
Pereira,23.01,72,1011,1.79,broken clouds,23/12/2025 13:15:57
Manizales,16.4,76,1012,3.58,scattered clouds,23/12/2025 13:15:57
Armenia,20.27,82,1011,1.34,broken clouds,23/12/2025 13:15:58
Santa Marta,29.94,68,1010,3.6,overcast clouds,23/12/2025 13:15:58
Riohacha,33.06,43,1010,8.75,few clouds,23/12/2025 13:15:58
Valledupar,34.83,28,1011,7.72,few clouds,23/12/2025 13:15:59
Montería,32.95,52,1010,0,scattered clouds,23/12/2025 13:15:59
Sincelejo,30.88,57,1009,2.14,scattered clouds,23/12/2025 13:14:53
Neiva,28.78,61,1010,2.68,scattered clouds,23/12/2025 13:13:31
Florencia,33.59,49,1009,1.03,scattered clouds,23/12/2025 13:16:00
Popayán,20.99,86,1012,1.89,scattered clouds,23/12/2025 13:16:00
Pasto,14.09,87,1014,1.33,light rain,23/12/2025 13:11:23
Mocoa,32.24,58,1010,2.69,clear sky,23/12/2025 13:16:01
Tunja,15.71,60,1011,3.11,scattered clouds,23/12/2025 13:16:01
Yopal,33.18,31,1007,3.15,broken clouds,23/12/2025 13:16:01
Villavicencio,31.67,56,1009,1.53,overcast clouds,23/12/2025 13:16:02
Leticia,28.03,89,1009,5.66,light intensity drizzle,23/12/2025 13:16:02
San Andrés,30.01,70,1014,6.69,few clouds,23/12/2025 13:16:02
Quibdó,28.19,78,1010,1.54,broken clouds,23/12/2025 13:16:02
Mitú,33.54,41,1006,2.23,broken clouds,23/12/2025 13:16:03
Puerto Carreño,32.99,49,1008,5.14,few clouds,23/12/2025 13:16:03
Inírida,34.87,41,1006,1.44,scattered clouds,23/12/2025 13:16:03
Bogota,17.6,63,1010,5.14,scattered clouds,23/12/2025 14:12:09
Medellín,24.63,53,1009,3.09,broken clouds,23/12/2025 14:15:02
Santiago de Cali,29,54,1008,1.54,haze,23/12/2025 14:16:03
Barranquilla,31.88,58,1008,5.14,few clouds,23/12/2025 14:11:13
Cartagena,30.79,66,1007,4.63,clear sky,23/12/2025 14:14:05
Cúcuta,26.97,74,1012,7.72,scattered clouds,23/12/2025 14:14:35
Bucaramanga,27.73,65,1010,3.09,scattered clouds,23/12/2025 14:16:06
Pereira,24.12,70,1010,3.58,scattered clouds,23/12/2025 14:14:42
Manizales,16.67,72,1011,3.58,broken clouds,23/12/2025 14:14:14
Armenia,20.65,78,1010,1.34,broken clouds,23/12/2025 14:16:09
Santa Marta,32.16,56,1007,4.02,overcast clouds,23/12/2025 14:16:10
Riohacha,33.06,46,1009,5.66,few clouds,23/12/2025 14:16:10
Valledupar,34.83,29,1009,6.17,few clouds,23/12/2025 14:12:14
Montería,33.95,52,1008,1.03,few clouds,23/12/2025 14:16:11
Sincelejo,31.35,55,1007,1.95,scattered clouds,23/12/2025 14:16:12
Neiva,28.78,61,1009,2.68,few clouds,23/12/2025 14:16:12
Florencia,33.59,49,1007,1.03,scattered clouds,23/12/2025 14:16:13
Popayán,20.57,90,1011,1.83,broken clouds,23/12/2025 14:16:14
Pasto,16.09,87,1013,1.16,light rain,23/12/2025 14:16:15
Mocoa,31.17,59,1008,2.43,broken clouds,23/12/2025 14:16:15
Tunja,15.35,64,1011,2.5,few clouds,23/12/2025 14:15:38
Yopal,33.34,29,1005,3.37,clear sky,23/12/2025 14:12:05
Villavicencio,31.53,57,1008,1.56,few clouds,23/12/2025 14:14:56
Leticia,29.03,89,1007,4.63,broken clouds,23/12/2025 14:16:17
San Andrés,30.01,70,1013,5.66,scattered clouds,23/12/2025 14:15:27
Quibdó,28.19,78,1008,1.54,broken clouds,23/12/2025 14:16:18
Mitú,33.71,41,1005,1.98,scattered clouds,23/12/2025 14:16:19
Puerto Carreño,32.99,46,1007,5.14,clear sky,23/12/2025 14:16:20
Inírida,34.84,40,1005,1.39,broken clouds,23/12/2025 14:16:20
Bogota,17.6,63,1010,6.26,scattered clouds,23/12/2025 15:12:09
Medellín,24.63,53,1008,3.09,scattered clouds,23/12/2025 15:11:24
Santiago de Cali,28,57,1007,1.54,haze,23/12/2025 15:08:49
Barranquilla,30.88,62,1008,7.2,few clouds,23/12/2025 15:15:52
Cartagena,30.79,62,1007,3.6,clear sky,23/12/2025 15:14:54
Cúcuta,26.97,69,1012,6.69,scattered clouds,23/12/2025 15:15:56
Bucaramanga,25.73,73,1012,7.72,scattered clouds,23/12/2025 15:13:12
Pereira,25.18,64,1009,3.58,scattered clouds,23/12/2025 15:15:42
Manizales,20.51,66,1010,3.09,scattered clouds,23/12/2025 15:14:10
Armenia,20.64,78,1009,1.34,scattered clouds,23/12/2025 15:15:58
Santa Marta,32.16,58,1007,4.63,overcast clouds,23/12/2025 15:15:58
Riohacha,30.06,70,1009,4.63,few clouds,23/12/2025 15:15:58
Valledupar,34.83,29,1007,6.17,few clouds,23/12/2025 15:12:57
Montería,34.95,49,1007,1.03,scattered clouds,23/12/2025 15:16:00
Sincelejo,31.35,56,1007,1.77,scattered clouds,23/12/2025 15:16:00
Neiva,28.22,61,1007,2.68,few clouds,23/12/2025 15:15:09
Florencia,33.59,49,1007,3.09,few clouds,23/12/2025 15:14:09
Popayán,20.27,92,1011,1.34,broken clouds,23/12/2025 15:16:02
Pasto,15.09,86,1012,1.53,light rain,23/12/2025 15:16:02
Mocoa,30.85,60,1007,2.16,broken clouds,23/12/2025 15:16:03
Tunja,14.69,74,1011,1.72,scattered clouds,23/12/2025 15:13:17
Yopal,33.19,28,1005,3.64,clear sky,23/12/2025 15:16:05
Villavicencio,31.14,58,1007,1.32,scattered clouds,23/12/2025 15:11:16
Leticia,28.03,89,1007,4.63,broken clouds,23/12/2025 15:16:06
San Andrés,30.01,70,1012,5.66,few clouds,23/12/2025 15:13:27
Quibdó,29.19,74,1008,0.51,scattered clouds,23/12/2025 15:16:07
Mitú,32.85,46,1004,1.86,broken clouds,23/12/2025 15:16:07
Puerto Carreño,32.99,46,1006,6.17,clear sky,23/12/2025 15:16:08
Inírida,33.64,44,1004,1.2,overcast clouds,23/12/2025 15:16:08
Bogota,17.6,63,1011,6.26,scattered clouds,23/12/2025 16:10:51
Medellín,24.57,57,1008,2.57,few clouds,23/12/2025 16:15:00
Santiago de Cali,29,54,1008,1.54,scattered clouds,23/12/2025 16:12:49
Barranquilla,29.88,66,1008,6.69,few clouds,23/12/2025 16:15:56
Cartagena,30.79,58,1007,4.12,clear sky,23/12/2025 16:15:00
Cúcuta,24.97,78,1011,4.63,broken clouds,23/12/2025 16:15:57
Bucaramanga,24.73,78,1011,7.72,scattered clouds,23/12/2025 16:15:57
Pereira,20.16,78,1009,1.34,few clouds,23/12/2025 16:13:42
Manizales,17.67,65,1010,2.24,scattered clouds,23/12/2025 16:15:22
Armenia,20.25,78,1009,1.79,scattered clouds,23/12/2025 16:13:08
Santa Marta,30.5,64,1007,6.71,overcast clouds,23/12/2025 16:14:29
Riohacha,29.06,70,1009,4.63,scattered clouds,23/12/2025 16:15:58
Valledupar,33.83,33,1006,7.72,few clouds,23/12/2025 16:15:59
Montería,33.95,52,1007,1.03,few clouds,23/12/2025 16:15:59
Sincelejo,30.9,62,1007,1.84,scattered clouds,23/12/2025 16:15:00
Neiva,28.22,61,1007,3.6,clear sky,23/12/2025 16:15:59
Florencia,32.59,58,1006,3.09,scattered clouds,23/12/2025 16:16:00
Popayán,20.12,92,1011,1.04,broken clouds,23/12/2025 16:11:17
Pasto,15.09,90,1012,1.62,light rain,23/12/2025 16:11:23
Mocoa,29.72,60,1006,1.6,broken clouds,23/12/2025 16:16:00
Tunja,14.43,77,1011,1.08,broken clouds,23/12/2025 16:14:43
Yopal,32.48,29,1005,3.83,clear sky,23/12/2025 16:14:23
Villavicencio,30.9,61,1007,0.49,scattered clouds,23/12/2025 16:15:19
Leticia,27.03,89,1006,2.06,broken clouds,23/12/2025 16:16:02
San Andrés,30.01,70,1011,5.66,few clouds,23/12/2025 16:16:02
Quibdó,29.19,74,1007,1.54,scattered clouds,23/12/2025 16:16:02
Mitú,29.11,63,1004,0.98,broken clouds,23/12/2025 16:16:02
Puerto Carreño,32.99,46,1006,5.66,clear sky,23/12/2025 16:16:03
Inírida,31.07,55,1004,1.22,overcast clouds,23/12/2025 16:16:03
Bogota,17.6,63,1012,6.26,scattered clouds,23/12/2025 17:10:33
Medellín,23.43,64,1009,3.09,few clouds,23/12/2025 17:11:20
Santiago de Cali,29,51,1008,3.6,few clouds,23/12/2025 17:15:45
Barranquilla,28.88,70,1008,6.69,clear sky,23/12/2025 17:15:56
Cartagena,30.79,62,1007,4.12,clear sky,23/12/2025 17:14:49
Cúcuta,25.97,73,1012,4.12,broken clouds,23/12/2025 17:13:12
Bucaramanga,23.73,83,1011,5.14,scattered clouds,23/12/2025 17:15:57
Pereira,19.99,78,1010,1.34,few clouds,23/12/2025 17:15:47
Manizales,15.13,65,1011,2.24,scattered clouds,23/12/2025 17:15:58
Armenia,19.7,78,1010,1.79,scattered clouds,23/12/2025 17:15:14
Santa Marta,29.38,65,1008,6.71,broken clouds,23/12/2025 17:15:59
Riohacha,29.06,70,1010,4.63,scattered clouds,23/12/2025 17:15:59
Valledupar,31.83,37,1007,7.2,few clouds,23/12/2025 17:12:56
Montería,33.95,52,1007,1.03,few clouds,23/12/2025 17:14:33
Sincelejo,28.87,78,1007,2.76,scattered clouds,23/12/2025 17:16:01
Neiva,28.22,61,1007,3.58,few clouds,23/12/2025 17:13:36
Florencia,32.59,58,1006,1.54,few clouds,23/12/2025 17:16:01
Popayán,19.43,94,1011,0.78,broken clouds,23/12/2025 17:16:02
Pasto,14.09,95,1013,1.5,light rain,23/12/2025 17:16:02
Mocoa,28.68,65,1006,0.73,broken clouds,23/12/2025 17:16:02
Tunja,13.98,80,1012,0.69,broken clouds,23/12/2025 17:16:03
Yopal,30.46,35,1005,3.25,clear sky,23/12/2025 17:15:36
Villavicencio,30.12,70,1008,1.18,scattered clouds,23/12/2025 17:12:44
Leticia,27.03,89,1006,1.03,broken clouds,23/12/2025 17:16:04
San Andrés,29.01,74,1011,5.66,few clouds,23/12/2025 17:13:00
Quibdó,28.19,83,1007,2.06,scattered clouds,23/12/2025 17:16:05
Mitú,27.88,67,1005,1.21,overcast clouds,23/12/2025 17:16:05
Puerto Carreño,31.99,48,1006,5.66,clear sky,23/12/2025 17:16:05
Inírida,29.28,62,1005,1.37,overcast clouds,23/12/2025 17:16:06
Bogota,16.73,72,1013,5.14,scattered clouds,23/12/2025 18:03:02
Medellín,23.82,60,1013,4.12,broken clouds,23/12/2025 18:15:33
Santiago de Cali,27,61,1010,3.6,few clouds,23/12/2025 18:15:55
Barranquilla,27.88,74,1008,4.63,clear sky,23/12/2025 18:15:46
Cartagena,27.79,74,1008,4.12,clear sky,23/12/2025 18:13:03
Cúcuta,24.97,78,1013,3.09,broken clouds,23/12/2025 18:15:56
Bucaramanga,22.73,88,1012,2.57,haze,23/12/2025 18:15:01
Pereira,18.82,78,1011,1.34,few clouds,23/12/2025 18:15:56
Manizales,12.43,65,1013,2.24,broken clouds,23/12/2025 18:15:57
Armenia,19.12,78,1011,1.79,scattered clouds,23/12/2025 18:11:30
Santa Marta,29.38,65,1007,6.71,broken clouds,23/12/2025 18:15:57
Riohacha,28.06,74,1010,3.6,scattered clouds,23/12/2025 18:15:58
Valledupar,30.83,40,1008,8.23,few clouds,23/12/2025 18:15:58
Montería,30.95,66,1007,0.51,few clouds,23/12/2025 18:15:58
Sincelejo,26.23,89,1007,4.08,scattered clouds,23/12/2025 18:15:58
Neiva,28.22,61,1007,3.58,few clouds,23/12/2025 18:13:31
Florencia,30.59,66,1006,1.03,scattered clouds,23/12/2025 18:15:59
Popayán,18.15,95,1013,0.56,broken clouds,23/12/2025 18:13:02
Pasto,13.19,99,1014,1.35,light rain,23/12/2025 18:15:59
Mocoa,25.62,78,1008,0.52,broken clouds,23/12/2025 18:16:00
Tunja,11.68,90,1014,0.37,scattered clouds,23/12/2025 18:16:00
Yopal,27.07,41,1007,2.29,clear sky,23/12/2025 18:16:00
Villavicencio,28.1,74,1008,2.75,scattered clouds,23/12/2025 18:13:01
Leticia,26.03,89,1007,1.03,broken clouds,23/12/2025 18:16:01
San Andrés,28.01,78,1011,5.14,light rain,23/12/2025 18:15:39
Quibdó,28.19,83,1008,2.06,scattered clouds,23/12/2025 18:16:02
Mitú,27.5,66,1006,1.08,overcast clouds,23/12/2025 18:16:02
Puerto Carreño,29.99,58,1006,4.12,clear sky,23/12/2025 18:16:03
Inírida,27.99,65,1006,1.6,overcast clouds,23/12/2025 18:16:03
Bogota,15.38,77,1014,3.58,broken clouds,23/12/2025 19:14:55
Medellín,19.96,94,1013,1.54,few clouds,23/12/2025 19:15:00
Santiago de Cali,25,65,1011,3.6,few clouds,23/12/2025 19:12:26
Barranquilla,26.88,78,1008,6.69,clear sky,23/12/2025 19:12:38
Cartagena,26.79,78,1008,4.63,clear sky,23/12/2025 19:14:56
Cúcuta,23.97,83,1013,1.54,broken clouds,23/12/2025 19:15:56
Bucaramanga,21.73,94,1013,2.06,fog,23/12/2025 19:13:12
Pereira,18.42,78,1012,1.34,scattered clouds,23/12/2025 19:11:42
Manizales,11.13,65,1014,2.24,broken clouds,23/12/2025 19:10:59
Armenia,18.38,78,1012,1.79,scattered clouds,23/12/2025 19:15:59
Santa Marta,28.83,67,1007,4.92,broken clouds,23/12/2025 19:15:59
Riohacha,28.06,74,1011,3.09,overcast clouds,23/12/2025 19:15:59
Valledupar,28.83,45,1010,6.17,few clouds,23/12/2025 19:15:00
Montería,28.95,74,1008,2.06,clear sky,23/12/2025 19:16:00
Sincelejo,25.25,88,1008,4.77,scattered clouds,23/12/2025 19:11:28
Neiva,28.94,65,1007,1.03,few clouds,23/12/2025 19:16:00
Florencia,28.59,74,1007,0.51,few clouds,23/12/2025 19:16:01
Popayán,17.28,97,1014,0.14,broken clouds,23/12/2025 19:16:01
Pasto,12.09,99,1015,0.82,overcast clouds,23/12/2025 19:16:01
Mocoa,24.11,84,1009,1.2,broken clouds,23/12/2025 19:16:01
Tunja,10.94,92,1015,0.98,scattered clouds,23/12/2025 19:16:02
Yopal,25.59,46,1008,2.2,clear sky,23/12/2025 19:16:02
Villavicencio,27.47,77,1010,3.02,few clouds,23/12/2025 19:14:51
Leticia,26.03,89,1008,1.03,clear sky,23/12/2025 19:15:42
San Andrés,28.01,78,1011,5.14,broken clouds,23/12/2025 19:16:04
Quibdó,26.19,89,1009,1.03,broken clouds,23/12/2025 19:16:04
Mitú,27.15,67,1007,1.04,overcast clouds,23/12/2025 19:15:39
Puerto Carreño,27.99,65,1007,3.6,clear sky,23/12/2025 19:16:04
Inírida,27.22,68,1007,1.58,overcast clouds,23/12/2025 19:16:05
Bogota,15.35,80,1015,3.58,broken clouds,23/12/2025 20:12:08
Medellín,19.57,94,1014,1.34,few clouds,23/12/2025 20:13:22
Santiago de Cali,24,69,1012,2.57,scattered clouds,23/12/2025 20:12:19
Barranquilla,26.88,78,1009,5.14,clear sky,23/12/2025 20:15:56
Cartagena,26.79,83,1009,4.63,clear sky,23/12/2025 20:15:56
Cúcuta,22.97,94,1013,0.51,broken clouds,23/12/2025 20:12:47
Bucaramanga,21.73,94,1013,1.54,fog,23/12/2025 20:12:11
Pereira,17.77,78,1013,1.34,broken clouds,23/12/2025 20:11:42
Manizales,11.24,73,1015,2.24,scattered clouds,23/12/2025 20:15:22
Armenia,18.03,78,1014,1.79,broken clouds,23/12/2025 20:15:58
Santa Marta,29.38,63,1007,4.12,clear sky,23/12/2025 20:15:23
Riohacha,27.06,74,1012,2.06,clear sky,23/12/2025 20:15:59
Valledupar,27.83,51,1011,7.2,few clouds,23/12/2025 20:11:45
Montería,27.95,78,1008,1.54,few clouds,23/12/2025 20:15:59
Sincelejo,24.96,88,1009,4.64,overcast clouds,23/12/2025 20:16:00
Neiva,26.94,78,1009,2.06,few clouds,23/12/2025 20:16:00
Florencia,28.59,70,1008,2.06,scattered clouds,23/12/2025 20:16:01
Popayán,16.94,98,1015,0.31,overcast clouds,23/12/2025 20:16:02
Pasto,12.09,99,1016,0.45,light rain,23/12/2025 20:16:02
Mocoa,23.42,86,1010,1.33,broken clouds,23/12/2025 20:16:03
Tunja,10.65,93,1017,1.31,few clouds,23/12/2025 20:13:10
Yopal,24.16,51,1010,2.1,clear sky,23/12/2025 20:16:04
Villavicencio,27.87,77,1011,2.56,clear sky,23/12/2025 20:16:05
Leticia,25.03,94,1008,0.51,clear sky,23/12/2025 20:16:05
San Andrés,28.01,78,1012,5.66,light rain,23/12/2025 20:16:06
Quibdó,26.19,89,1011,0.51,broken clouds,23/12/2025 20:16:07
Mitú,26.86,65,1008,1.07,overcast clouds,23/12/2025 20:16:08
Puerto Carreño,27.99,65,1008,2.57,clear sky,23/12/2025 20:16:08
Inírida,26.44,72,1008,1.32,light rain,23/12/2025 20:16:09
Bogota,15.35,80,1016,3.58,broken clouds,23/12/2025 21:14:38
Medellín,19.57,94,1015,1.34,scattered clouds,23/12/2025 21:12:08
Santiago de Cali,23,73,1013,4.12,scattered clouds,23/12/2025 21:14:28
Barranquilla,26.88,78,1009,4.12,clear sky,23/12/2025 21:15:56
Cartagena,26.79,83,1009,3.6,clear sky,23/12/2025 21:15:58
Cúcuta,21.97,100,1014,0.51,broken clouds,23/12/2025 21:12:47
Bucaramanga,20.73,100,1014,0,scattered clouds,23/12/2025 21:14:53
Pereira,17.31,78,1014,1.34,broken clouds,23/12/2025 21:16:00
Manizales,11.4,75,1015,1.79,scattered clouds,23/12/2025 21:16:00
Armenia,17.47,78,1015,1.79,broken clouds,23/12/2025 21:14:28
Santa Marta,29.38,57,1009,4.47,clear sky,23/12/2025 21:15:37
Riohacha,27.06,65,1013,2.57,clear sky,23/12/2025 21:16:02
Valledupar,27.83,51,1011,6.69,few clouds,23/12/2025 21:11:21
Montería,26.95,83,1009,0.51,few clouds,23/12/2025 21:16:03
Sincelejo,24.22,90,1010,3.67,overcast clouds,23/12/2025 21:16:03
Neiva,26.94,78,1010,1.54,few clouds,23/12/2025 21:13:30
Florencia,27.59,74,1009,2.06,few clouds,23/12/2025 21:16:05
Popayán,16.62,98,1016,0.33,overcast clouds,23/12/2025 21:16:06
Pasto,12.09,99,1017,0.1,light rain,23/12/2025 21:16:06
Mocoa,23.2,87,1012,1.51,broken clouds,23/12/2025 21:16:07
Tunja,9.96,95,1018,1.1,scattered clouds,23/12/2025 21:16:07
Yopal,23.27,54,1011,2.07,clear sky,23/12/2025 21:15:37
Villavicencio,27.12,72,1011,2.42,clear sky,23/12/2025 21:13:11
Leticia,25.03,94,1009,1.03,clear sky,23/12/2025 21:16:08
San Andrés,28.01,78,1013,6.17,moderate rain,23/12/2025 21:16:09
Quibdó,25.19,94,1011,1.54,broken clouds,23/12/2025 21:16:09
Mitú,26.79,65,1008,0.95,overcast clouds,23/12/2025 21:16:10
Puerto Carreño,26.99,69,1009,3.6,clear sky,23/12/2025 21:16:10
Inírida,26.08,74,1009,1.17,moderate rain,23/12/2025 21:16:11
Bogota,14.82,87,1016,1.54,broken clouds,23/12/2025 22:13:43
Medellín,19.57,95,1015,1.34,broken clouds,23/12/2025 22:15:55
Santiago de Cali,23,73,1014,3.6,broken clouds,23/12/2025 22:11:52
Barranquilla,26.88,78,1009,5.14,clear sky,23/12/2025 22:15:56
Cartagena,26.79,83,1010,3.6,clear sky,23/12/2025 22:13:52
Cúcuta,21.97,100,1014,1.03,broken clouds,23/12/2025 22:12:06
Bucaramanga,20.73,94,1014,0.51,scattered clouds,23/12/2025 22:15:58
Pereira,16.73,78,1014,1.34,broken clouds,23/12/2025 22:12:43
Manizales,11.13,76,1016,1.79,broken clouds,23/12/2025 22:12:20
Armenia,16.92,78,1015,1.79,broken clouds,23/12/2025 22:12:55
Santa Marta,29.38,53,1010,6.71,scattered clouds,23/12/2025 22:15:59
Riohacha,26.06,69,1013,2.57,clear sky,23/12/2025 22:16:00
Valledupar,26.83,54,1011,6.17,few clouds,23/12/2025 22:16:01
Montería,25.95,89,1010,0.51,few clouds,23/12/2025 22:12:13
Sincelejo,23.95,90,1010,2.78,broken clouds,23/12/2025 22:16:01
Neiva,25.94,83,1010,1.03,clear sky,23/12/2025 22:12:01
Florencia,27.59,74,1010,1.54,few clouds,23/12/2025 22:16:02
Popayán,16.41,99,1016,0.46,overcast clouds,23/12/2025 22:16:02
Pasto,12.09,98,1017,0.27,overcast clouds,23/12/2025 22:13:33
Mocoa,22.36,90,1013,1.43,broken clouds,23/12/2025 22:16:04
Tunja,9.99,95,1018,1.09,scattered clouds,23/12/2025 22:16:04
Yopal,22.73,56,1011,1.88,few clouds,23/12/2025 22:16:05
Villavicencio,26.98,68,1012,2.67,few clouds,23/12/2025 22:16:05
Leticia,25.03,94,1009,1.03,clear sky,23/12/2025 22:13:03
San Andrés,27.01,83,1013,5.14,moderate rain,23/12/2025 22:16:06
Quibdó,25.19,94,1011,1.54,broken clouds,23/12/2025 22:16:06
Mitú,25.97,68,1009,1.16,overcast clouds,23/12/2025 22:16:06
Puerto Carreño,25.99,78,1009,2.06,clear sky,23/12/2025 22:16:07
Inírida,25.35,77,1009,1.1,light rain,23/12/2025 22:16:08
Bogota,14.82,87,1016,1.54,broken clouds,23/12/2025 23:03:21
Medellín,19.48,97,1015,1.34,broken clouds,23/12/2025 23:12:22
Santiago de Cali,22,83,1014,1.54,broken clouds,23/12/2025 23:13:06
Barranquilla,26.88,78,1009,5.14,clear sky,23/12/2025 23:15:56
Cartagena,26.79,83,1010,2.57,clear sky,23/12/2025 23:15:57
Cúcuta,21.97,94,1014,1.03,broken clouds,23/12/2025 23:10:57
Bucaramanga,20.73,88,1014,0.51,scattered clouds,23/12/2025 23:15:57
Pereira,16.63,78,1014,1.34,broken clouds,23/12/2025 23:14:49
Manizales,11.13,76,1016,1.79,broken clouds,23/12/2025 23:12:18
Armenia,16.37,78,1015,1.79,broken clouds,23/12/2025 23:15:58
Santa Marta,28.03,51,1010,2.57,few clouds,23/12/2025 23:17:58
Riohacha,25.06,73,1013,1.54,few clouds,23/12/2025 23:17:59
Valledupar,25.83,57,1011,5.66,clear sky,23/12/2025 23:17:59
Montería,26.95,89,1010,1.03,scattered clouds,23/12/2025 23:17:59
Sincelejo,24.16,88,1010,2.75,broken clouds,23/12/2025 23:13:52
Neiva,25.94,78,1011,0.51,broken clouds,23/12/2025 23:17:13
Florencia,27.59,69,1010,2.06,clear sky,23/12/2025 23:18:01
Popayán,16.23,99,1016,0.5,overcast clouds,23/12/2025 23:15:41
Pasto,12.09,98,1017,0.39,overcast clouds,23/12/2025 23:18:01
Mocoa,21.46,93,1014,1.62,broken clouds,23/12/2025 23:18:02
Tunja,9.21,95,1018,0.53,broken clouds,23/12/2025 23:18:02
Yopal,22.02,58,1011,1.88,few clouds,23/12/2025 23:17:57
Villavicencio,26.01,66,1012,2.49,scattered clouds,23/12/2025 23:15:00
Leticia,25.03,94,1009,0.51,clear sky,23/12/2025 23:18:03
San Andrés,27.01,83,1014,5.14,light rain,23/12/2025 23:18:03
Quibdó,24.19,100,1011,1.54,overcast clouds,23/12/2025 23:18:04
Mitú,24.24,75,1009,1.46,overcast clouds,23/12/2025 23:15:39
Puerto Carreño,25.99,78,1009,1.54,clear sky,23/12/2025 23:18:00
Inírida,25.25,78,1009,1.24,overcast clouds,23/12/2025 23:18:05
Bogota,14.82,87,1016,2.68,broken clouds,24/12/2025 0:12:10
Medellín,19.04,97,1015,1.34,broken clouds,24/12/2025 0:12:55
Santiago de Cali,21,88,1013,2.57,broken clouds,24/12/2025 0:16:04
Barranquilla,26.88,78,1009,5.14,clear sky,24/12/2025 0:12:39
Cartagena,25.79,89,1009,2.06,clear sky,24/12/2025 0:15:56
Cúcuta,20.97,94,1014,0.51,broken clouds,24/12/2025 0:13:00
Bucaramanga,19.73,88,1014,1.03,broken clouds,24/12/2025 0:16:09
Pereira,16.1,78,1014,1.34,broken clouds,24/12/2025 0:14:49
Manizales,10.84,76,1016,1.79,broken clouds,24/12/2025 0:12:37
Armenia,15.81,78,1015,1.79,overcast clouds,24/12/2025 0:15:41
Santa Marta,28.83,59,1010,7.6,clear sky,24/12/2025 0:16:10
Riohacha,24.06,78,1013,1.54,few clouds,24/12/2025 0:16:11
Valledupar,25.83,61,1011,4.63,clear sky,24/12/2025 0:16:12
Montería,25.95,94,1010,0.51,clear sky,24/12/2025 0:16:13
Sincelejo,23.72,86,1010,2.51,broken clouds,24/12/2025 0:15:00
Neiva,25.94,78,1011,1.03,overcast clouds,24/12/2025 0:13:15
Florencia,25.59,78,1010,1.54,overcast clouds,24/12/2025 0:16:14
Popayán,16.04,99,1016,0.64,overcast clouds,24/12/2025 0:16:15
Pasto,12.09,98,1016,0.31,overcast clouds,24/12/2025 0:12:46
Mocoa,20.95,93,1013,1.89,broken clouds,24/12/2025 0:16:16
Tunja,8.55,95,1017,0.48,broken clouds,24/12/2025 0:16:16
Yopal,21.54,59,1011,1.95,few clouds,24/12/2025 0:12:58
Villavicencio,24.96,65,1012,2.59,broken clouds,24/12/2025 0:15:05
Leticia,25.03,94,1009,0,clear sky,24/12/2025 0:15:42
San Andrés,27.01,89,1013,5.66,light rain,24/12/2025 0:16:20
Quibdó,24.19,100,1011,1.54,overcast clouds,24/12/2025 0:16:21
Mitú,23.3,80,1009,1.16,moderate rain,24/12/2025 0:16:21
Puerto Carreño,24.99,83,1009,1.03,clear sky,24/12/2025 0:12:07
